╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 100.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: VESSEL (BARRIER ABLATION, k_E=100.0) | E=400000 Pa | ν=0.49
  Mesh: 25x8x8 | Device: cuda | Epochs: 2500
  Expected tip δ: 9.6567 mm | Scale: 9.66e-03
======================================================================
  Nodes: 2106 | Tets: 8000 | Edges: 30738
  Params: 161,731
  ⚡ F-bar enabled (ν≥0.45)

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -4.923359e-03 |  0.9997 |       0 |     0.0118 |  2.00e-05
      2 | -5.744015e-03 |  0.9998 |       0 |     0.0117 |  4.00e-05
      3 | -7.367861e-03 |  1.0001 |       0 |     0.0115 |  6.00e-05
      4 | -9.765618e-03 |  1.0004 |       0 |     0.0111 |  8.00e-05
      5 | -1.290383e-02 |  1.0009 |       0 |     0.0105 |  1.00e-04
     25 | -5.459697e-02 |  1.0100 |       0 |     0.0232 |  5.00e-04
     50 | -5.880982e-02 |  0.9979 |       0 |     0.0465 |  1.00e-03
     75 | -5.887038e-02 |  0.9975 |       0 |     0.1396 |  9.64e-04
    100 | -5.892842e-02 |  0.9978 |       0 |     0.2573 |  8.61e-04
    125 | -5.896144e-02 |  0.9941 |       0 |     0.3965 |  7.07e-04
    150 | -5.900020e-02 |  0.9906 |       0 |     0.5729 |  5.25e-04
    175 | -5.903784e-02 |  0.9865 |       0 |     0.7562 |  3.43e-04
    200 | -5.906222e-02 |  0.9835 |       0 |     0.8878 |  1.89e-04
    225 | -5.907436e-02 |  0.9818 |       0 |     0.9557 |  8.62e-05
    250 | -5.908003e-02 |  0.9811 |       0 |     0.9874 |  1.00e-03
    275 | -5.866722e-02 |  1.0133 |       0 |     0.2363 |  9.91e-04
    300 | -5.892961e-02 |  0.9990 |       0 |     0.2850 |  9.64e-04
    325 | -5.898317e-02 |  0.9918 |       0 |     0.4846 |  9.20e-04
    350 | -5.903260e-02 |  0.9869 |       0 |     0.7271 |  8.61e-04
    375 | -5.908086e-02 |  0.9807 |       0 |     0.9826 |  7.89e-04
    400 | -5.912855e-02 |  0.9757 |       0 |     1.2470 |  7.07e-04
    425 | -5.917506e-02 |  0.9716 |       0 |     1.5229 |  6.18e-04
    450 | -5.921937e-02 |  0.9681 |       0 |     1.8072 |  5.25e-04
    475 | -5.926150e-02 |  0.9657 |       0 |     2.0892 |  4.32e-04
    500 | -5.929994e-02 |  0.9634 |       0 |     2.3593 |  3.43e-04
    525 | -5.933393e-02 |  0.9617 |       0 |     2.5981 |  2.61e-04
    550 | -5.936160e-02 |  0.9604 |       0 |     2.7927 |  1.89e-04
    575 | -5.938263e-02 |  0.9598 |       0 |     2.9402 |  1.30e-04
    600 | -5.939791e-02 |  0.9595 |       0 |     3.0450 |  8.62e-05
    625 | -5.940874e-02 |  0.9593 |       0 |     3.1181 |  5.91e-05
    650 | -5.941711e-02 |  0.9591 |       0 |     3.1744 |  1.00e-03
    675 | -5.812332e-02 |  0.9541 |       0 |     0.0061 |  9.98e-04
    700 | -5.886004e-02 |  1.0119 |       0 |     0.0791 |  9.91e-04
    725 | -5.891905e-02 |  1.0014 |       0 |     0.2293 |  9.80e-04
    750 | -5.894889e-02 |  0.9965 |       0 |     0.3444 |  9.64e-04
    775 | -5.897700e-02 |  0.9926 |       0 |     0.4818 |  9.44e-04
    800 | -5.900820e-02 |  0.9891 |       0 |     0.6454 |  9.20e-04
    825 | -5.904371e-02 |  0.9845 |       0 |     0.8383 |  8.92e-04
    850 | -5.908367e-02 |  0.9790 |       0 |     1.0674 |  8.61e-04
    875 | -5.912696e-02 |  0.9728 |       0 |     1.3322 |  8.26e-04
