╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 100.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: VESSEL (BARRIER ABLATION, k_E=100.0) | E=400000 Pa | ν=0.49
  Mesh: 25x8x8 | Device: cuda | Epochs: 2500
  Expected tip δ: 9.6567 mm | Scale: 9.66e-03
======================================================================
  Nodes: 2106 | Tets: 8000 | Edges: 30738
  Params: 161,731
  ⚡ F-bar enabled (ν≥0.45)

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -6.639008e-03 |  1.0000 |       0 |    -0.0085 |  2.00e-05
      2 | -7.548003e-03 |  1.0002 |       0 |    -0.0076 |  4.00e-05
      3 | -9.348816e-03 |  1.0005 |       0 |    -0.0060 |  6.00e-05
      4 | -1.201258e-02 |  1.0010 |       0 |    -0.0035 |  8.00e-05
      5 | -1.550313e-02 |  1.0016 |       0 |    -0.0002 |  1.00e-04
     25 | -5.539092e-02 |  1.0121 |       0 |    -0.0290 |  5.00e-04
     50 | -5.848533e-02 |  1.0069 |       0 |     0.0244 |  1.00e-03
     75 | -5.889729e-02 |  1.0028 |       0 |     0.1460 |  9.64e-04
    100 | -5.893826e-02 |  0.9996 |       0 |     0.2937 |  8.61e-04
    125 | -5.897389e-02 |  0.9926 |       0 |     0.4536 |  7.07e-04
    150 | -5.900871e-02 |  0.9885 |       0 |     0.6361 |  5.25e-04
    175 | -5.903995e-02 |  0.9847 |       0 |     0.8079 |  3.43e-04
    200 | -5.906317e-02 |  0.9820 |       0 |     0.9397 |  1.89e-04
    225 | -5.907688e-02 |  0.9804 |       0 |     1.0189 |  8.62e-05
    250 | -5.908394e-02 |  0.9796 |       0 |     1.0603 |  1.00e-03
    275 | -5.879942e-02 |  0.9933 |       0 |     0.4515 |  9.91e-04
    300 | -5.895488e-02 |  0.9945 |       0 |     0.3565 |  9.64e-04
    325 | -5.900366e-02 |  0.9899 |       0 |     0.5823 |  9.20e-04
    350 | -5.906115e-02 |  0.9836 |       0 |     0.8726 |  8.61e-04
    375 | -5.912448e-02 |  0.9770 |       0 |     1.2409 |  7.89e-04
    400 | -5.918895e-02 |  0.9710 |       0 |     1.6610 |  7.07e-04
    425 | -5.925133e-02 |  0.9670 |       0 |     2.0868 |  6.18e-04
    450 | -5.930836e-02 |  0.9626 |       0 |     2.4972 |  5.25e-04
    475 | -5.935553e-02 |  0.9608 |       0 |     2.8718 |  4.32e-04
    500 | -5.941001e-02 |  0.9521 |       0 |     3.2115 |  3.43e-04
    525 | -5.945394e-02 |  0.9519 |       0 |     3.5229 |  2.61e-04
    550 | -5.948750e-02 |  0.9513 |       0 |     3.7833 |  1.89e-04
    575 | -5.951310e-02 |  0.9506 |       0 |     3.9841 |  1.30e-04
    600 | -5.953199e-02 |  0.9500 |       0 |     4.1286 |  8.62e-05
    625 | -5.954564e-02 |  0.9497 |       0 |     4.2302 |  5.91e-05
    650 | -5.955632e-02 |  0.9493 |       0 |     4.3088 |  1.00e-03
    675 | -5.788984e-02 |  0.9561 |       0 |     0.1484 |  9.98e-04
    700 | -5.880084e-02 |  0.9890 |       0 |     0.1573 |  9.91e-04
    725 | -5.890139e-02 |  0.9936 |       0 |     0.1996 |  9.80e-04
    750 | -5.893126e-02 |  0.9990 |       0 |     0.2782 |  9.64e-04
    775 | -5.895597e-02 |  0.9963 |       0 |     0.3962 |  9.44e-04
    800 | -5.898155e-02 |  0.9931 |       0 |     0.5266 |  9.20e-04
    825 | -5.901025e-02 |  0.9892 |       0 |     0.6756 |  8.92e-04
    850 | -5.904410e-02 |  0.9846 |       0 |     0.8563 |  8.61e-04
    875 | -5.908416e-02 |  0.9789 |       0 |     1.0811 |  8.26e-04
    900 | -5.912925e-02 |  0.9723 |       0 |     1.3569 |  7.89e-04
    925 | -5.918019e-02 |  0.9651 |       0 |     1.6863 |  7.49e-04
    950 | -5.923767e-02 |  0.9588 |       0 |     2.0795 |  7.07e-04
    975 | -5.930215e-02 |  0.9548 |       0 |     2.5390 |  6.63e-04
   1000 | -5.919558e-02 |  0.9572 |       0 |     3.0500 |  6.18e-04
   1025 | -5.938832e-02 |  0.9492 |       0 |     3.3579 |  5.72e-04
   1050 | -5.944236e-02 |  0.9422 |       0 |     3.8111 |  5.25e-04
   1075 | -5.948032e-02 |  0.9398 |       0 |     4.0713 |  4.78e-04
   1100 | -5.953417e-02 |  0.9388 |       0 |     4.4763 |  4.32e-04
   1125 | -5.937420e-02 |  0.9401 |       0 |     4.8823 |  3.87e-04
   1150 | -5.959226e-02 |  0.9335 |       0 |     5.0592 |  3.43e-04
   1175 | -5.964830e-02 |  0.9311 |       0 |     5.4132 |  3.01e-04
   1200 | -5.968881e-02 |  0.9287 |       0 |     5.7458 |  2.61e-04
   1225 | -5.972644e-02 |  0.9269 |       0 |     6.0508 |  2.24e-04
   1250 | -5.976086e-02 |  0.9251 |       0 |     6.3314 |  1.89e-04
   1275 | -5.979130e-02 |  0.9232 |       0 |     6.5870 |  1.58e-04
   1300 | -5.981769e-02 |  0.9214 |       0 |     6.8137 |  1.30e-04
   1325 | -5.984017e-02 |  0.9201 |       0 |     7.0099 |  1.06e-04
   1350 | -5.985905e-02 |  0.9191 |       0 |     7.1768 |  8.62e-05
   1375 | -5.987483e-02 |  0.9182 |       0 |     7.3178 |  7.05e-05
   1400 | -5.988814e-02 |  0.9175 |       0 |     7.4381 |  5.91e-05
   1425 | -5.989978e-02 |  0.9169 |       0 |     7.5442 |  5.23e-05
   1450 | -5.991062e-02 |  0.9162 |       0 |     7.6440 |  1.00e-03
   1475 | -5.764119e-02 |  0.9817 |       0 |    -0.0102 |  9.99e-04
   1500 | -5.882813e-02 |  0.9995 |       0 |    -0.0227 |  9.98e-04
   1525 | -5.889932e-02 |  1.0011 |       0 |     0.0718 |  9.95e-04
   1550 | -5.891942e-02 |  1.0003 |       0 |     0.1476 |  9.91e-04
   1575 | -5.893821e-02 |  0.9986 |       0 |     0.2433 |  9.86e-04
   1600 | -5.895744e-02 |  0.9970 |       0 |     0.3484 |  9.80e-04
   1625 | -5.897803e-02 |  0.9952 |       0 |     0.4626 |  9.72e-04
   1650 | -5.900079e-02 |  0.9932 |       0 |     0.5908 |  9.64e-04
   1675 | -5.902657e-02 |  0.9908 |       0 |     0.7384 |  9.54e-04
   1700 | -5.905611e-02 |  0.9882 |       0 |     0.9114 |  9.44e-04
   1725 | -5.908925e-02 |  0.9850 |       0 |     1.1153 |  9.32e-04
   1750 | -5.912547e-02 |  0.9812 |       0 |     1.3528 |  9.20e-04
   1775 | -5.916597e-02 |  0.9768 |       0 |     1.6276 |  9.07e-04
   1800 | -5.921409e-02 |  0.9715 |       0 |     1.9525 |  8.92e-04
   1825 | -5.927157e-02 |  0.9652 |       0 |     2.3499 |  8.77e-04
   1850 | -5.933626e-02 |  0.9579 |       0 |     2.8349 |  8.61e-04
   1875 | -5.902486e-02 |  0.9797 |       0 |     2.1904 |  8.44e-04
   1900 | -5.929187e-02 |  0.9634 |       0 |     2.3377 |  8.26e-04
   1925 | -5.935005e-02 |  0.9577 |       0 |     2.7826 |  8.08e-04
   1950 | -5.940568e-02 |  0.9519 |       0 |     3.2487 |  7.89e-04
   1975 | -5.945915e-02 |  0.9464 |       0 |     3.7240 |  7.69e-04
   2000 | -5.951266e-02 |  0.9413 |       0 |     4.2004 |  7.49e-04
   2025 | -5.676872e-02 |  0.9553 |       0 |     4.6697 |  7.28e-04
   2050 | -5.937870e-02 |  0.9545 |       0 |     3.2436 |  7.07e-04
   2075 | -5.946792e-02 |  0.9469 |       0 |     3.6167 |  6.85e-04
   2100 | -5.954003e-02 |  0.9412 |       0 |     4.1371 |  6.63e-04
   2125 | -5.959415e-02 |  0.9337 |       0 |     4.6379 |  6.40e-04
   2150 | -5.964641e-02 |  0.9283 |       0 |     5.1151 |  6.18e-04
   2175 | -5.970073e-02 |  0.9247 |       0 |     5.5809 |  5.95e-04
   2200 | -5.975861e-02 |  0.9217 |       0 |     6.0656 |  5.72e-04
   2225 | -5.980668e-02 |  0.9193 |       0 |     6.5894 |  5.48e-04
   2250 | -5.982568e-02 |  0.9260 |       0 |     6.4965 |  5.25e-04
   2275 | -5.987214e-02 |  0.9202 |       0 |     6.9552 |  5.02e-04
   2300 | -5.992468e-02 |  0.9161 |       0 |     7.5416 |  4.78e-04
   2325 | -5.996345e-02 |  0.9143 |       0 |     8.0354 |  4.55e-04
   2350 | -5.997023e-02 |  0.9171 |       0 |     7.8801 |  4.32e-04
   2375 | -6.001155e-02 |  0.9135 |       0 |     8.3458 |  4.10e-04
   2400 | -6.005184e-02 |  0.9109 |       0 |     8.7972 |  3.87e-04
   2425 | -6.008861e-02 |  0.9094 |       0 |     9.2016 |  3.65e-04
   2450 | -6.012494e-02 |  0.9079 |       0 |     9.5953 |  3.43e-04
   2475 | -6.016169e-02 |  0.9063 |       0 |     9.9796 |  3.22e-04
   2500 | -6.019808e-02 |  0.9048 |       0 |    10.3607 |  3.01e-04

  ======================================================================
  ✅ VESSEL (barrier_coef=100.0) COMPLETE
  Best loss: -6.019808e-02 (epoch 2500)
  Tip: 10.3752 mm (expected: 9.6567 mm)  Err: 7.44%
  n_inverted: final=0, max_during_training=0
  Training time: 97.9s (1.6min)
  ======================================================================

