╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 100.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: VESSEL (BARRIER ABLATION, k_E=100.0) | E=400000 Pa | ν=0.49
  Mesh: 25x8x8 | Device: cuda | Epochs: 2500
  Expected tip δ: 9.6567 mm | Scale: 9.66e-03
======================================================================
  Nodes: 2106 | Tets: 8000 | Edges: 30738
  Params: 161,731
  ⚡ F-bar enabled (ν≥0.45)

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -1.915050e-03 |  0.9903 |       0 |    -0.0047 |  2.00e-05
      2 | -3.110880e-03 |  0.9911 |       0 |    -0.0044 |  4.00e-05
      3 | -5.458446e-03 |  0.9925 |       0 |    -0.0036 |  6.00e-05
      4 | -8.880118e-03 |  0.9947 |       0 |    -0.0025 |  8.00e-05
      5 | -1.328129e-02 |  0.9975 |       0 |    -0.0010 |  1.00e-04
     25 | -5.740265e-02 |  1.0125 |       0 |    -0.0166 |  5.00e-04
     50 | -5.876720e-02 |  0.9942 |       0 |     0.0124 |  1.00e-03
     75 | -5.887090e-02 |  0.9954 |       0 |     0.0648 |  9.64e-04
    100 | -5.890409e-02 |  0.9995 |       0 |     0.1630 |  8.61e-04
    125 | -5.893043e-02 |  0.9969 |       0 |     0.2694 |  7.07e-04
    150 | -5.895376e-02 |  0.9934 |       0 |     0.3779 |  5.25e-04
    175 | -5.897502e-02 |  0.9904 |       0 |     0.4806 |  3.43e-04
    200 | -5.899185e-02 |  0.9885 |       0 |     0.5637 |  1.89e-04
    225 | -5.900239e-02 |  0.9873 |       0 |     0.6164 |  8.62e-05
    250 | -5.900803e-02 |  0.9867 |       0 |     0.6449 |  1.00e-03
    275 | -5.839799e-02 |  0.9971 |       0 |     0.3271 |  9.91e-04
    300 | -5.890838e-02 |  0.9968 |       0 |     0.2059 |  9.64e-04
    325 | -5.896729e-02 |  0.9930 |       0 |     0.3839 |  9.20e-04
    350 | -5.901556e-02 |  0.9878 |       0 |     0.6115 |  8.61e-04
    375 | -5.907376e-02 |  0.9820 |       0 |     0.9213 |  7.89e-04
