╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 100.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: VESSEL (BARRIER ABLATION, k_E=100.0) | E=400000 Pa | ν=0.49
  Mesh: 25x8x8 | Device: cuda | Epochs: 2500
  Expected tip δ: 9.6567 mm | Scale: 9.66e-03
======================================================================
  Nodes: 2106 | Tets: 8000 | Edges: 30738
  Params: 161,731
  ⚡ F-bar enabled (ν≥0.45)

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -4.133684e-03 |  0.9991 |       0 |     0.0083 |  2.00e-05
      2 | -5.240912e-03 |  0.9998 |       0 |     0.0092 |  4.00e-05
      3 | -7.423270e-03 |  1.0002 |       0 |     0.0109 |  6.00e-05
      4 | -1.062031e-02 |  1.0006 |       0 |     0.0135 |  8.00e-05
      5 | -1.475631e-02 |  1.0011 |       0 |     0.0170 |  1.00e-04
     25 | -5.663263e-02 |  1.0078 |       0 |     0.0897 |  5.00e-04
     50 | -5.878771e-02 |  0.9972 |       0 |     0.1535 |  1.00e-03
     75 | -5.891216e-02 |  0.9921 |       0 |     0.2389 |  9.64e-04
    100 | -5.894864e-02 |  0.9891 |       0 |     0.3674 |  8.61e-04
    125 | -5.898633e-02 |  0.9870 |       0 |     0.5286 |  7.07e-04
    150 | -5.902385e-02 |  0.9835 |       0 |     0.7266 |  5.25e-04
    175 | -5.905920e-02 |  0.9781 |       0 |     0.9322 |  3.43e-04
    200 | -5.908947e-02 |  0.9740 |       0 |     1.1162 |  1.89e-04
    225 | -5.910938e-02 |  0.9715 |       0 |     1.2413 |  8.62e-05
    250 | -5.912027e-02 |  0.9701 |       0 |     1.3105 |  1.00e-03
    275 | -5.880895e-02 |  0.9909 |       0 |     0.1020 |  9.91e-04
    300 | -5.887847e-02 |  1.0053 |       0 |     0.1908 |  9.64e-04
    325 | -5.895558e-02 |  0.9929 |       0 |     0.3568 |  9.20e-04
    350 | -5.899435e-02 |  0.9897 |       0 |     0.5185 |  8.61e-04
    375 | -5.903241e-02 |  0.9846 |       0 |     0.7088 |  7.89e-04
    400 | -5.907363e-02 |  0.9800 |       0 |     0.9260 |  7.07e-04
    425 | -5.911524e-02 |  0.9759 |       0 |     1.1644 |  6.18e-04
    450 | -5.915539e-02 |  0.9720 |       0 |     1.4021 |  5.25e-04
    475 | -5.919172e-02 |  0.9689 |       0 |     1.6240 |  4.32e-04
    500 | -5.922301e-02 |  0.9666 |       0 |     1.8169 |  3.43e-04
    525 | -5.924844e-02 |  0.9652 |       0 |     1.9761 |  2.61e-04
    550 | -5.926834e-02 |  0.9643 |       0 |     2.1008 |  1.89e-04
    575 | -5.928336e-02 |  0.9636 |       0 |     2.1933 |  1.30e-04
    600 | -5.929419e-02 |  0.9632 |       0 |     2.2584 |  8.62e-05
    625 | -5.930179e-02 |  0.9630 |       0 |     2.3034 |  5.91e-05
    650 | -5.930768e-02 |  0.9626 |       0 |     2.3377 |  1.00e-03
    675 | -5.901649e-02 |  0.9906 |       0 |     0.9343 |  9.98e-04
    700 | -5.903371e-02 |  0.9779 |       0 |     0.9001 |  9.91e-04
    725 | -5.911709e-02 |  0.9779 |       0 |     1.1762 |  9.80e-04
    750 | -5.918808e-02 |  0.9751 |       0 |     1.5733 |  9.64e-04
    775 | -5.925299e-02 |  0.9686 |       0 |     1.9942 |  9.44e-04
    800 | -5.931517e-02 |  0.9639 |       0 |     2.3997 |  9.20e-04
    825 | -5.938141e-02 |  0.9626 |       0 |     2.8197 |  8.92e-04
    850 | -5.945235e-02 |  0.9592 |       0 |     3.2759 |  8.61e-04
    875 | -5.952891e-02 |  0.9547 |       0 |     3.7858 |  8.26e-04
    900 | -5.883241e-02 |  0.9538 |       0 |     3.6560 |  7.89e-04
