╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 0.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: VESSEL (BARRIER ABLATION, k_E=0.0) | E=400000 Pa | ν=0.49
  Mesh: 25x8x8 | Device: cuda | Epochs: 2500
  Expected tip δ: 9.6567 mm | Scale: 9.66e-03
======================================================================
  Nodes: 2106 | Tets: 8000 | Edges: 30738
  Params: 161,731
  ⚡ F-bar enabled (ν≥0.45)

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -1.915378e-03 |  0.9903 |       0 |    -0.0047 |  2.00e-05
      2 | -3.110880e-03 |  0.9911 |       0 |    -0.0044 |  4.00e-05
      3 | -5.458446e-03 |  0.9925 |       0 |    -0.0036 |  6.00e-05
      4 | -8.880118e-03 |  0.9947 |       0 |    -0.0025 |  8.00e-05
      5 | -1.328129e-02 |  0.9975 |       0 |    -0.0010 |  1.00e-04
     25 | -5.740265e-02 |  1.0125 |       0 |    -0.0166 |  5.00e-04
     50 | -5.876720e-02 |  0.9942 |       0 |     0.0124 |  1.00e-03
     75 | -5.887091e-02 |  0.9954 |       0 |     0.0648 |  9.64e-04
    100 | -5.890409e-02 |  0.9995 |       0 |     0.1630 |  8.61e-04
    125 | -5.893043e-02 |  0.9969 |       0 |     0.2694 |  7.07e-04
    150 | -5.895378e-02 |  0.9934 |       0 |     0.3779 |  5.25e-04
    175 | -5.897501e-02 |  0.9904 |       0 |     0.4806 |  3.43e-04
    200 | -5.899184e-02 |  0.9885 |       0 |     0.5637 |  1.89e-04
    225 | -5.900238e-02 |  0.9873 |       0 |     0.6164 |  8.62e-05
    250 | -5.900802e-02 |  0.9867 |       0 |     0.6449 |  1.00e-03
    275 | -5.863059e-02 |  0.9849 |       0 |     0.3310 |  9.91e-04
    300 | -5.894573e-02 |  0.9953 |       0 |     0.3122 |  9.64e-04
    325 | -5.900119e-02 |  0.9889 |       0 |     0.5441 |  9.20e-04
    350 | -5.906411e-02 |  0.9825 |       0 |     0.8745 |  8.61e-04
    375 | -5.914296e-02 |  0.9763 |       0 |     1.3281 |  7.89e-04
    400 | -5.922849e-02 |  0.9689 |       0 |     1.8835 |  7.07e-04
    425 | -5.904212e-02 |  0.9741 |       0 |     1.6233 |  6.18e-04
    450 | -5.920898e-02 |  0.9742 |       0 |     1.7339 |  5.25e-04
    475 | -5.927432e-02 |  0.9704 |       0 |     2.0886 |  4.32e-04
    500 | -5.932448e-02 |  0.9674 |       0 |     2.4261 |  3.43e-04
    525 | -5.936518e-02 |  0.9655 |       0 |     2.7106 |  2.61e-04
    550 | -5.939794e-02 |  0.9640 |       0 |     2.9390 |  1.89e-04
    575 | -5.942310e-02 |  0.9629 |       0 |     3.1126 |  1.30e-04
    600 | -5.944099e-02 |  0.9621 |       0 |     3.2376 |  8.62e-05
    625 | -5.945340e-02 |  0.9616 |       0 |     3.3249 |  5.91e-05
    650 | -5.946285e-02 |  0.9613 |       0 |     3.3922 |  1.00e-03
    675 | -5.851604e-02 |  0.9784 |       0 |     0.0774 |  9.98e-04
    700 | -5.877584e-02 |  0.9918 |       0 |     0.1728 |  9.91e-04
    725 | -5.889966e-02 |  0.9984 |       0 |     0.2130 |  9.80e-04
    750 | -5.893935e-02 |  0.9967 |       0 |     0.3075 |  9.64e-04
    775 | -5.896535e-02 |  0.9938 |       0 |     0.4192 |  9.44e-04
    800 | -5.899173e-02 |  0.9910 |       0 |     0.5470 |  9.20e-04
    825 | -5.902111e-02 |  0.9877 |       0 |     0.6959 |  8.92e-04
    850 | -5.905478e-02 |  0.9841 |       0 |     0.8701 |  8.61e-04
    875 | -5.909285e-02 |  0.9798 |       0 |     1.0741 |  8.26e-04
    900 | -5.913208e-02 |  0.9755 |       0 |     1.3035 |  7.89e-04
    925 | -5.916821e-02 |  0.9709 |       0 |     1.5423 |  7.49e-04
    950 | -5.920221e-02 |  0.9670 |       0 |     1.7772 |  7.07e-04
    975 | -5.923571e-02 |  0.9639 |       0 |     2.0148 |  6.63e-04
   1000 | -5.926982e-02 |  0.9611 |       0 |     2.2633 |  6.18e-04
   1025 | -5.930572e-02 |  0.9590 |       0 |     2.5234 |  5.72e-04
   1050 | -5.933695e-02 |  0.9567 |       0 |     2.7825 |  5.25e-04
   1075 | -5.937507e-02 |  0.9560 |       0 |     3.0423 |  4.78e-04
   1100 | -5.940577e-02 |  0.9556 |       0 |     3.2652 |  4.32e-04
   1125 | -5.944615e-02 |  0.9552 |       0 |     3.5334 |  3.87e-04
   1150 | -5.948335e-02 |  0.9540 |       0 |     3.8142 |  3.43e-04
   1175 | -5.949992e-02 |  0.9535 |       0 |     4.0761 |  3.01e-04
   1200 | -5.955068e-02 |  0.9506 |       0 |     4.3246 |  2.61e-04
   1225 | -5.958046e-02 |  0.9490 |       0 |     4.5779 |  2.24e-04
   1250 | -5.960751e-02 |  0.9477 |       0 |     4.8103 |  1.89e-04
   1275 | -5.963165e-02 |  0.9456 |       0 |     5.0172 |  1.58e-04
   1300 | -5.965288e-02 |  0.9439 |       0 |     5.1986 |  1.30e-04
   1325 | -5.967128e-02 |  0.9425 |       0 |     5.3555 |  1.06e-04
   1350 | -5.968703e-02 |  0.9413 |       0 |     5.4898 |  8.62e-05
   1375 | -5.970042e-02 |  0.9404 |       0 |     5.6041 |  7.05e-05
   1400 | -5.971191e-02 |  0.9397 |       0 |     5.7025 |  5.91e-05
   1425 | -5.972213e-02 |  0.9391 |       0 |     5.7899 |  5.23e-05
   1450 | -5.973177e-02 |  0.9386 |       0 |     5.8727 |  1.00e-03
   1475 | -5.700459e-02 |  0.9938 |       0 |    -0.0297 |  9.99e-04
   1500 | -5.870200e-02 |  1.0002 |       0 |     0.1838 |  9.98e-04
   1525 | -5.888320e-02 |  0.9972 |       0 |     0.2730 |  9.95e-04
   1550 | -5.893855e-02 |  0.9961 |       0 |     0.3476 |  9.91e-04
   1575 | -5.896388e-02 |  0.9950 |       0 |     0.4238 |  9.86e-04
   1600 | -5.898681e-02 |  0.9941 |       0 |     0.5355 |  9.80e-04
   1625 | -5.901264e-02 |  0.9931 |       0 |     0.6710 |  9.72e-04
   1650 | -5.904374e-02 |  0.9920 |       0 |     0.8392 |  9.64e-04
   1675 | -5.908126e-02 |  0.9905 |       0 |     1.0547 |  9.54e-04
   1700 | -5.912391e-02 |  0.9874 |       0 |     1.3203 |  9.44e-04
   1725 | -5.917053e-02 |  0.9825 |       0 |     1.6269 |  9.32e-04
   1750 | -5.922453e-02 |  0.9788 |       0 |     1.9830 |  9.20e-04
   1775 | -5.929100e-02 |  0.9754 |       0 |     2.4331 |  9.07e-04
   1800 | -5.914589e-02 |  0.9798 |       0 |     2.3933 |  8.92e-04
   1825 | -5.930141e-02 |  0.9759 |       0 |     2.4611 |  8.77e-04
   1850 | -5.938786e-02 |  0.9656 |       0 |     3.0657 |  8.61e-04
   1875 | -5.946347e-02 |  0.9581 |       0 |     3.6966 |  8.44e-04
   1900 | -5.690148e-02 |  0.9553 |       0 |     2.9039 |  8.26e-04
   1925 | -5.904429e-02 |  0.9781 |       0 |     1.4755 |  8.08e-04
   1950 | -5.919231e-02 |  0.9776 |       0 |     1.6843 |  7.89e-04
   1975 | -5.925964e-02 |  0.9771 |       0 |     2.0125 |  7.69e-04
   2000 | -5.932372e-02 |  0.9713 |       0 |     2.4212 |  7.49e-04
   2025 | -5.938382e-02 |  0.9661 |       0 |     2.8675 |  7.28e-04
   2050 | -5.943936e-02 |  0.9604 |       0 |     3.3258 |  7.07e-04
   2075 | -5.949220e-02 |  0.9556 |       0 |     3.7869 |  6.85e-04
   2100 | -5.954374e-02 |  0.9516 |       0 |     4.2514 |  6.63e-04
   2125 | -5.959556e-02 |  0.9476 |       0 |     4.7183 |  6.40e-04
   2150 | -5.965015e-02 |  0.9440 |       0 |     5.1965 |  6.18e-04
   2175 | -5.970904e-02 |  0.9412 |       0 |     5.7057 |  5.95e-04
   2200 | -5.977277e-02 |  0.9389 |       0 |     6.2641 |  5.72e-04
   2225 | -5.925161e-02 |  0.9467 |       0 |     5.6384 |  5.48e-04
   2250 | -5.969620e-02 |  0.9488 |       0 |     5.5793 |  5.25e-04
   2275 | -5.981109e-02 |  0.9433 |       0 |     6.3516 |  5.02e-04
   2300 | -5.987394e-02 |  0.9384 |       0 |     7.0274 |  4.78e-04
   2325 | -5.993286e-02 |  0.9360 |       0 |     7.6063 |  4.55e-04
   2350 | -5.999091e-02 |  0.9336 |       0 |     8.1821 |  4.32e-04
   2375 | -5.999386e-02 |  0.9302 |       0 |     8.7723 |  4.10e-04
   2400 | -5.999497e-02 |  0.9354 |       0 |     8.4731 |  3.87e-04
   2425 | -6.008641e-02 |  0.9308 |       0 |     9.1013 |  3.65e-04
   2450 | -6.013253e-02 |  0.9271 |       0 |     9.6706 |  3.43e-04
   2475 | -6.017304e-02 |  0.9247 |       0 |    10.1389 |  3.22e-04
   2500 | -6.021153e-02 |  0.9229 |       0 |    10.5947 |  3.01e-04

  ======================================================================
  ✅ VESSEL (barrier_coef=0.0) COMPLETE
  Best loss: -6.021153e-02 (epoch 2500)
  Tip: 10.6128 mm (expected: 9.6567 mm)  Err: 9.90%
  n_inverted: final=0, max_during_training=0
  Training time: 101.1s (1.7min)
  ======================================================================

