╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 0.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: VESSEL (BARRIER ABLATION, k_E=0.0) | E=400000 Pa | ν=0.49
  Mesh: 25x8x8 | Device: cuda | Epochs: 2500
  Expected tip δ: 9.6567 mm | Scale: 9.66e-03
======================================================================
  Nodes: 2106 | Tets: 8000 | Edges: 30738
  Params: 161,731
  ⚡ F-bar enabled (ν≥0.45)

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -4.923359e-03 |  0.9997 |       0 |     0.0118 |  2.00e-05
      2 | -5.744015e-03 |  0.9998 |       0 |     0.0117 |  4.00e-05
      3 | -7.367860e-03 |  1.0001 |       0 |     0.0115 |  6.00e-05
      4 | -9.765619e-03 |  1.0004 |       0 |     0.0111 |  8.00e-05
      5 | -1.290382e-02 |  1.0009 |       0 |     0.0105 |  1.00e-04
     25 | -5.459714e-02 |  1.0100 |       0 |     0.0232 |  5.00e-04
     50 | -5.880982e-02 |  0.9979 |       0 |     0.0465 |  1.00e-03
     75 | -5.887035e-02 |  0.9975 |       0 |     0.1396 |  9.64e-04
    100 | -5.892842e-02 |  0.9978 |       0 |     0.2573 |  8.61e-04
    125 | -5.896143e-02 |  0.9941 |       0 |     0.3965 |  7.07e-04
    150 | -5.900019e-02 |  0.9906 |       0 |     0.5729 |  5.25e-04
    175 | -5.903785e-02 |  0.9865 |       0 |     0.7562 |  3.43e-04
    200 | -5.906222e-02 |  0.9835 |       0 |     0.8878 |  1.89e-04
    225 | -5.907435e-02 |  0.9818 |       0 |     0.9557 |  8.62e-05
    250 | -5.908002e-02 |  0.9811 |       0 |     0.9874 |  1.00e-03
    275 | -5.875112e-02 |  1.0034 |       0 |     0.3790 |  9.91e-04
    300 | -5.896141e-02 |  0.9925 |       0 |     0.4321 |  9.64e-04
    325 | -5.902456e-02 |  0.9875 |       0 |     0.6866 |  9.20e-04
    350 | -5.907848e-02 |  0.9808 |       0 |     0.9719 |  8.61e-04
    375 | -5.913118e-02 |  0.9751 |       0 |     1.2676 |  7.89e-04
    400 | -5.918297e-02 |  0.9708 |       0 |     1.5795 |  7.07e-04
    425 | -5.923504e-02 |  0.9671 |       0 |     1.9118 |  6.18e-04
    450 | -5.928811e-02 |  0.9649 |       0 |     2.2608 |  5.25e-04
    475 | -5.934030e-02 |  0.9625 |       0 |     2.6165 |  4.32e-04
    500 | -5.938862e-02 |  0.9596 |       0 |     2.9509 |  3.43e-04
    525 | -5.943101e-02 |  0.9585 |       0 |     3.2435 |  2.61e-04
    550 | -5.946563e-02 |  0.9585 |       0 |     3.4830 |  1.89e-04
    575 | -5.949190e-02 |  0.9570 |       0 |     3.6651 |  1.30e-04
    600 | -5.951078e-02 |  0.9560 |       0 |     3.7963 |  8.62e-05
    625 | -5.952406e-02 |  0.9555 |       0 |     3.8889 |  5.91e-05
    650 | -5.953426e-02 |  0.9551 |       0 |     3.9607 |  1.00e-03
    675 | -5.845052e-02 |  0.9872 |       0 |     0.0516 |  9.98e-04
    700 | -5.887548e-02 |  1.0085 |       0 |     0.1160 |  9.91e-04
    725 | -5.892152e-02 |  1.0016 |       0 |     0.2164 |  9.80e-04
    750 | -5.894684e-02 |  0.9974 |       0 |     0.3224 |  9.64e-04
    775 | -5.897196e-02 |  0.9951 |       0 |     0.4511 |  9.44e-04
    800 | -5.899985e-02 |  0.9918 |       0 |     0.5972 |  9.20e-04
    825 | -5.903263e-02 |  0.9882 |       0 |     0.7720 |  8.92e-04
    850 | -5.907202e-02 |  0.9836 |       0 |     0.9872 |  8.61e-04
    875 | -5.911812e-02 |  0.9779 |       0 |     1.2505 |  8.26e-04
